situation_lemmatized,situation_lemmatized_lowered
I hate people who take the elevator when they can take the stairs.,I i hate people who take the elevator when they can take the stairs.
I have be secretly add soylent to my gf’s husband’s shake.,I i have be secretly add soylent to my gf’s husband’s shake.
"I have more fun at work than I do when I'm with my partner, and I wish my coworker wasn't marry.","I i have more fun at work than i do when i'm with my partner, and i wish my coworker wasn't marry."
My best female friend and I that I daily see at school be hook up!.,I my best female friend and i that i daily see at school be hook up!.
My best female friend and I that I daily see at school be hook up!.,I my best female friend and i that i daily see at school be hook up!.
I accidently pooped on our neighbour floor.,I i accidently pooped on our neighbour floor.
I accidently pooped on our neighbour floor.,I i accidently pooped on our neighbour floor.
"I hate jehovah witnesses, and not because they're simply annoying.","I i hate jehovah witnesses, and not because they're simply annoying."
I am find myself more and more jealous of happy people.,I I am find myself more and more jealous of happy people.
I haven’t have a friend in real life for almost a year.,I i haven’t have a friend in real life for almost a year.
"In a weird kind of platonic love with someone I barely know, but give up on it.","I in a weird kind of platonic love with someone i barely know, but give up on it."
"I play videos game everyday, I'm just complete horseshit at it.","I i play videos game everyday, i'm just complete horseshit at it."
I’m a College Failure.,I i’m a college failure.
Whenever I read the word Amazon I immediately associate the word with..,I whenever i read the word amazon i immediately associate the word with..
Whenever I read the word Amazon I immediately associate the word with..,I whenever i read the word amazon i immediately associate the word with..
I feel cheat by my girlfriend.,I i feel cheat by my girlfriend.
I indirectly bribe my son into hang out with me.,I i indirectly bribe my son into hang out with me.
I hate my niece and wish I could keep her away from my daughter.,I i hate my niece and wish i could keep her away from my daughter.
When I am a server I use to upcharge needy customer who didn't tip.,I when I am a server i use to upcharge needy customer who didn't tip.
Sometimes I put in headphone and the music start play and I go on my phone to see if the music be too loud even know I’m listen to it and it foment seem to loud.,I sometimes i put in headphone and the music start play and i go on my phone to see if the music be too loud even know i’m listen to it and it foment seem to loud.
I think everyone be racist.,I i think everyone be racist.
I prank homeless guy by pretend I will give them cash and then punch them in the nut.,I i prank homeless guy by pretend i will give them cash and then punch them in the nut.
I drive to random store park lot after work and sit in my car for hour because I don't want to go home.,I i drive to random store park lot after work and sit in my car for hour because i don't want to go home.
I haven't pooped in a week.,I i haven't pooped in a week.
I can't stop think about him.,I i can't stop think about him.
I realize that I don’t think I’ll ever have the wedding of my dream.,I i realize that i don’t think i’ll ever have the wedding of my dream.
"I do this to my sister's underwear, I need people to talk to me about it.","I i do this to my sister's underwear, i need people to talk to me about it."
I play hooky today and get stalked.,I i play hooky today and get stalked.
I break my leg iceskating.,I i break my leg iceskating.
I have start hating and can't stand my best friend.,I i have start hating and can't stand my best friend.
I don't think I would care if my young brother died..,I i don't think i would care if my young brother died..
"I'm a teacher, and I Juul in the bathroom at school.","I i'm a teacher, and i juul in the bathroom at school."
"I am a massive soyboy cuck, and I fight for social justice online by censor people I disagree with.","I I am a massive soyboy cuck, and i fight for social justice online by censor people i disagree with."
"I am a massive soyboy cuck, and I fight for social justice online by censor people I disagree with.","I I am a massive soyboy cuck, and i fight for social justice online by censor people i disagree with."
I listen to positive subliminal affirmation in the background of my call at work. I work at a call center and I do this so I don’t go crazy. Nobody knows.,I i listen to positive subliminal affirmation in the background of my call at work. i work at a call center and i do this so i don’t go crazy. nobody knows.
I listen to positive subliminal affirmation in the background of my call at work. I work at a call center and I do this so I don’t go crazy. Nobody knows.,I i listen to positive subliminal affirmation in the background of my call at work. i work at a call center and i do this so i don’t go crazy. nobody knows.
I ruin other friend friendship.,I i ruin other friend friendship.
I lie to my husband about why we are go to a couple only club with new friends.,I i lie to my husband about why we are go to a couple only club with new friends.
I lie to my husband about why we are go to a couple only club with new friends.,I i lie to my husband about why we are go to a couple only club with new friends.
I like that 60%+ of Americans be fat.,I i like that 60%+ of american be fat.
I hate this world.,I i hate this world.
Why I really keep the heat low in the house isn't about $.,I why i really keep the heat low in the house isn't about $.
I have be secretly add soylent to my gf’s husband’s shake.,I i have be secretly add soylent to my gf’s husband’s shake.
"Sometimes when I’m at work, I’ll lie to my fiancée that I’m busy and can’t talk, but honestly I am just try to watch The Office.","I sometimes when i’m at work, i’ll lie to my fiancée that i’m busy and can’t talk, but honestly I am just try to watch the office."
